latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,source,bright_ti4,bright_ti5
-36.686,142.893,310.4,2.1,1.4,2020-04-24,500,A,67,6.0NRT,297.2,17.0,D,MODIS,,
-36.55,143.398,306.6,2.3,1.5,2020-04-24,500,A,59,6.0NRT,294.9,14.5,D,MODIS,,
-36.608000000000004,142.94299999999998,324.1,2.2,1.4,2020-04-24,500,A,82,6.0NRT,297.0,56.2,D,MODIS,,
-36.836999999999996,141.866,311.8,1.8,1.3,2020-04-24,500,A,69,6.0NRT,295.7,17.9,D,MODIS,,
-36.605,142.96,321.4,2.2,1.4,2020-04-24,500,A,79,6.0NRT,297.1,43.6,D,MODIS,,
-36.61,142.936,315.2,2.2,1.4,2020-04-24,500,A,47,6.0NRT,296.6,25.9,D,MODIS,,
-36.813,141.765,307.9,1.8,1.3,2020-04-24,500,A,60,6.0NRT,296.5,12.3,D,MODIS,,
-36.39,143.469,307.8,2.4,1.5,2020-04-24,500,A,43,6.0NRT,295.2,15.7,D,MODIS,,
-36.395,143.44299999999998,313.4,2.3,1.5,2020-04-24,500,A,70,6.0NRT,295.4,29.4,D,MODIS,,
-36.713,141.558,322.9,1.8,1.3,2020-04-24,500,A,80,6.0NRT,296.6,40.4,D,MODIS,,
-36.717,141.53799999999998,309.1,1.8,1.3,2020-04-24,500,A,62,6.0NRT,295.7,12.8,D,MODIS,,
-36.509,142.21,366.3,2.0,1.4,2020-04-24,500,A,100,6.0NRT,300.9,266.5,D,MODIS,,
-36.514,142.189,376.8,2.0,1.4,2020-04-24,500,A,100,6.0NRT,303.6,362.5,D,MODIS,,
-36.435,142.25,314.0,2.0,1.4,2020-04-24,500,A,71,6.0NRT,299.2,20.1,D,MODIS,,
-36.439,142.22899999999998,312.9,2.0,1.4,2020-04-24,500,A,69,6.0NRT,298.3,17.4,D,MODIS,,
-36.444,140.984,308.9,1.7,1.3,2020-04-24,500,A,59,6.0NRT,295.9,10.7,D,MODIS,,
-36.399,141.042,316.2,1.7,1.3,2020-04-24,500,A,72,6.0NRT,296.5,22.5,D,MODIS,,
-36.357,141.069,312.6,1.7,1.3,2020-04-24,500,A,67,6.0NRT,296.0,16.4,D,MODIS,,
-36.187,140.984,314.6,1.7,1.3,2020-04-24,500,A,70,6.0NRT,296.6,19.0,D,MODIS,,
-35.736999999999995,142.642,306.9,2.2,1.4,2020-04-24,500,A,45,6.0NRT,295.5,12.1,D,MODIS,,
-35.725,142.638,311.1,2.2,1.4,2020-04-24,500,A,65,6.0NRT,295.2,21.7,D,MODIS,,
-35.727,142.631,315.9,2.2,1.4,2020-04-24,500,A,72,6.0NRT,295.4,33.0,D,MODIS,,
-37.599000000000004,148.31799999999998,301.5,1.5,1.2,2020-04-24,2350,T,47,6.0NRT,291.2,5.9,D,MODIS,,
-36.617,142.314,317.6,4.6,2.0,2020-04-25,125,T,46,6.0NRT,282.6,127.5,D,MODIS,,
-37.989000000000004,146.115,323.1,1.2,1.1,2020-04-25,400,A,82,6.0NRT,291.9,24.8,D,MODIS,,
-38.231,143.924,301.8,1.5,1.2,2020-04-25,400,A,49,6.0NRT,287.2,7.8,D,MODIS,,
-37.881,146.252,321.9,1.1,1.1,2020-04-25,400,A,81,6.0NRT,287.4,24.4,D,MODIS,,
-37.882,146.238,341.9,1.1,1.1,2020-04-25,400,A,93,6.0NRT,290.9,57.2,D,MODIS,,
-37.871,146.25,325.2,1.1,1.1,2020-04-25,400,A,84,6.0NRT,284.8,27.8,D,MODIS,,
-37.873000000000005,146.237,352.6,1.1,1.1,2020-04-25,400,A,97,6.0NRT,289.5,82.2,D,MODIS,,
-38.073,144.251,309.3,1.4,1.2,2020-04-25,400,A,68,6.0NRT,292.0,12.6,D,MODIS,,
-38.053000000000004,144.011,312.8,1.5,1.2,2020-04-25,400,A,73,6.0NRT,293.1,17.4,D,MODIS,,
-37.997,144.468,310.4,1.4,1.2,2020-04-25,400,A,70,6.0NRT,294.8,11.7,D,MODIS,,
-38.052,144.005,310.1,1.5,1.2,2020-04-25,400,A,60,6.0NRT,293.1,12.9,D,MODIS,,
-37.937,143.44799999999998,304.8,1.6,1.2,2020-04-25,400,A,60,6.0NRT,292.3,7.7,D,MODIS,,
-37.939,143.43,308.8,1.6,1.2,2020-04-25,400,A,68,6.0NRT,291.2,13.0,D,MODIS,,
-37.84,143.045,303.5,1.7,1.3,2020-04-25,400,A,41,6.0NRT,287.5,8.2,D,MODIS,,
-37.826,143.063,304.9,1.6,1.3,2020-04-25,400,A,52,6.0NRT,286.4,9.6,D,MODIS,,
-37.824,142.828,310.6,1.7,1.3,2020-04-25,400,A,61,6.0NRT,281.3,23.0,D,MODIS,,
-37.69,143.665,301.3,1.5,1.2,2020-04-25,400,A,33,6.0NRT,288.8,6.8,D,MODIS,,
-37.681,143.037,316.6,1.6,1.3,2020-04-25,400,A,67,6.0NRT,285.0,29.6,D,MODIS,,
-37.681999999999995,143.018,330.7,1.7,1.3,2020-04-25,400,A,0,6.0NRT,284.6,61.6,D,MODIS,,
-37.683,143.03,329.6,1.6,1.3,2020-04-25,400,A,75,6.0NRT,285.4,58.3,D,MODIS,,
-37.58,143.148,309.1,1.6,1.3,2020-04-25,400,A,68,6.0NRT,281.3,18.3,D,MODIS,,
-37.583,143.144,307.9,1.6,1.3,2020-04-25,400,A,66,6.0NRT,281.5,17.8,D,MODIS,,
-37.003,143.841,328.3,1.5,1.2,2020-04-25,405,A,76,6.0NRT,292.0,42.0,D,MODIS,,
-36.964,143.329,304.3,1.6,1.2,2020-04-25,405,A,59,6.0NRT,272.6,14.4,D,MODIS,,
-36.62,145.688,306.1,1.2,1.1,2020-04-25,405,A,52,6.0NRT,293.9,5.7,D,MODIS,,
-36.61,145.686,307.4,1.2,1.1,2020-04-25,405,A,54,6.0NRT,294.0,6.8,D,MODIS,,
-36.625,144.558,316.3,1.3,1.1,2020-04-25,405,A,76,6.0NRT,291.2,16.6,D,MODIS,,
-36.626999999999995,144.543,341.7,1.3,1.1,2020-04-25,405,A,92,6.0NRT,294.5,65.5,D,MODIS,,
-36.735,143.474,319.3,1.5,1.2,2020-04-25,405,A,79,6.0NRT,274.7,30.6,D,MODIS,,
-36.736,143.457,310.2,1.5,1.2,2020-04-25,405,A,60,6.0NRT,271.4,17.4,D,MODIS,,
-36.619,144.55,340.5,1.3,1.1,2020-04-25,405,A,92,6.0NRT,293.7,61.1,D,MODIS,,
-36.62,144.535,326.4,1.3,1.1,2020-04-25,405,A,84,6.0NRT,294.5,31.6,D,MODIS,,
-36.734,143.467,323.9,1.5,1.2,2020-04-25,405,A,82,6.0NRT,273.9,41.3,D,MODIS,,
